Title,Date,Venue/Journal,Authors,Key word list
Mobility prediction and routing in ad hoc wireless networks,2001,International Journal of Network Management,"William Su, Sung-Ju Lee, Mario Gerla","['Wireless ad hoc network', 'Wireless Routing Protocol', 'Optimized Link State Routing Protocol']"
"Human mobility, social ties, and link prediction",2011,Knowledge Discovery and Data Mining,"Dashun Wang1, Dino Pedreschi2, Chaoming Song1, Fosca Giannotti3, Albert LÃ¡szlÃ_ BarabÃ¡si1","['Social relation', 'Social network', 'Organizational network analysis']"
Mobility prediction in wireless networks,2000,Military Communications Conference,"William Su, Sung-Ju Lee, Mario Gerla","['Wireless network', 'Wireless ad hoc network', 'Wireless Routing Protocol']"
Group mobility and partition prediction in wireless ad-hoc networks,2002,International Conference on Communications,"Karen H. Wang, Baochun Li","['Wireless ad hoc network', 'Quality of service', 'Network topology']"
IPv6 flow handoff in ad hoc wireless networks using mobility prediction,1999,Global Communications Conference,"William Su, M. Gerla","['Wireless ad hoc network', 'Wireless Routing Protocol', 'Vehicular ad hoc network']"
Mining User Mobility Features for Next Place Prediction in Location-Based Services,2012,International Conference on Data Mining,"Anastasios Noulas, Salvatore Scellato, Neal Lathia, Cecilia Mascolo","['User interface', 'Supervised learning', 'Mobility model']"
Scalable Localization with Mobility Prediction for Underwater Sensor Networks,2011,IEEE Transactions on Mobile Computing,"Zhong Zhou, Zheng Peng, Jun-Hong Cui, Zhijie Shi, Amvrossios C. Bagtzoglou","['Wireless sensor network', 'Underwater acoustic communication', 'Underwater']"
QoS provisioning in cellular networks based on mobility prediction techniques,2003,IEEE Communications Magazine,"Wee-Seng Soh, Hyong S. Kim","['Real-time computing', 'Radio resource management', 'Quality of service']"
The effect of mobility-induced location errors on geographic routing in mobile ad hoc sensor networks: analysis and improvement using mobility prediction,2004,IEEE Transactions on Mobile Computing,"Dongjin Son, Ahmed Helmy, Bhaskar Krishnamachari","['Wireless sensor network', 'Wireless ad hoc network', 'Routing protocol']"
Prediction of the absolute charge mobility of molecular semiconductors : the case of rubrene,2007,Advanced Materials,Alessandro Troisi,"['Thermal fluctuations', 'Semiconductor', 'Rubrene']"
Next place prediction using mobility Markov chains,2012,European Conference on Computer Systems,"SÃ©bastien Gambs1, Marc-Olivier Killijian2, Miguel NÃºÃ±ez del Prado Cortez3","['2Centre national de la recherche scientifique,', '3University of Toulouse', 'Mobility model']"
