Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
"- 1 Nitrogen cycles : past , present , and future",Charles J. Vörösmarty,,2004,92,,https://pdfs.semanticscholar.org/c90c/ea1a03c930a4e0890cdc5ff623da1d0410c5.pdf
,Frank Dentener,,,,,
,James N. Galloway,,,,,
A Hierarchical Representation for Future Action Prediction,Silvio Savarese,ECCV,2014,18,51,https://pdfs.semanticscholar.org/97d2/caf892628df45ede18634f4582cc149e52af.pdf
,Tian Lan,,,,,
,Tsung-Chuan Chen,,,,,
A Seq2Seq learning approach for modeling semantic trajectories and predicting the next location,Adrian Jablonski,SIGSPATIAL/GIS,2018,,,http://dl.acm.org/citation.cfm?id=3274983
,Antonios Karatzoglou,,,,,
,Michael Beigl,,,,,
A critical evaluation of location based services and their potential,Chris Rizos,J. Location Based Services,2007,6,7,https://pdfs.semanticscholar.org/1958/cc8d62868bd0e727e8ab12b0d4400cc7f105.pdf
,Georg Gartner,,,,,
,Hassan Karimi,,,,,
,Jonathan Raper,,,,,
A location predictor based on dependencies between multiple lifelog data,Masaaki Nishino,GIS-LBSN,2010,,,http://dl.acm.org/citation.cfm?id=1867702
,Masanobu Abe,,,,,
,Shin-yo Muto,,,,,
,Takashi Yagi,,,,,
,Yukihiro Nakamura,,,,,
A predictive location model for location-based services,Hassan A. Karimi,GIS,2003,8,,http://dl.acm.org/citation.cfm?id=956693
,Xiong Liu,,,,,
A scalable location service for geographic ad hoc routing,David R. Karger,MobiCom,2000,160,33,http://dl.acm.org/citation.cfm?id=345931
,Douglas S. J. De Couto,,,,,
,Jinyang Li,,,,,
,John Jannotti,,,,,
,Robert Tappan Morris,,,,,
A vision-grounded dataset for predicting typical locations for verbs,Anna Rohrbach,LREC,2018,,,https://pdfs.semanticscholar.org/9b78/78eb0681d107a3892c2a166beeb6c0e2d36f.pdf
,Bernt Schiele,,,,,
,Nelson Mukuze,,,,,
,Vera Demberg,,,,,
Accuracy of percutaneous transhepatic cholangiography in predicting the location and nature of major bile duct injuries.,Jeanne M. Laberge,Journal of vascular and interventional radiology…,2011,,,https://www.ncbi.nlm.nih.gov/pubmed/21514840
,Nicholas Fidelman,,,,,
,R. L. Gordon,,,,,
,Robert K. Kerlan,,,,,
Baseline MRI predicts future attacks and disability in clinically isolated syndromes.,Alex Rovira,Neurology,2006,9,,https://www.ncbi.nlm.nih.gov/pubmed/17000962
,Mar Tintore,,,,,
,Xavier Montalban,,,,,
"Bluetongue in Europe: past, present and future.",Anthony James Wilson,Philosophical transactions of the Royal Society…,2009,22,,https://pdfs.semanticscholar.org/334c/6721c7a89a0dc1498458eaa6c30759ff010e.pdf
,Philip Scott Mellor,,,,,
"Brain–machine interfaces: past, present and future",Miguel A. L Nicolelis,Trends in Neurosciences,2006,32,189,https://www.sciencedirect.com/science/article/pii/S0166223606001470?dgcid=api_sd_search-api-endpoint
,Mikhail A. Lebedev,,,,,
"Brain–machine interfaces: past, present and future",Miguel A. L Nicolelis,Trends in Neurosciences,2006,32,189,https://www.sciencedirect.com/science/article/pii/S0166223606001470?dgcid=api_sd_search-api-endpoint
,Mikhail A. Lebedev,,,,,
Canonical Microcircuits for Predictive Coding,André M. Bastos,Neuron,2012,43,,https://www.sciencedirect.com/science/article/pii/S0896627312009592
,George R. Mangun,,,,,
,Karl J. Friston,,,,,
,Pascal Fries,,,,,
