Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
A Collaborative Filtering Approach to Citywide Human Mobility Completion from Sparse Call Records,Apichon Witayangkurn,IJCAI,2016,,,https://pdfs.semanticscholar.org/2fc1/37e5c1f280ff813b22713d52d9f372038a85.pdf
,Ayumi Arai,,,,,
,Hiroshi Kanasugi,,,,,
,Ryosuke Shibasaki,,,,,
,Xuan Song,,,,,
,Zipei Fan,,,,,
A Review : On Mobility Prediction for Wireless Networks,Dr. V. Ranganathan,,2014,,,https://pdfs.semanticscholar.org/2831/4edf425d1906eb336eef0aee6c4efce06f40.pdf
,J. Ananthi,,,,,
A Review : On Mobility Prediction for Wireless Networks,Dr. V. Ranganathan,,2014,,,https://pdfs.semanticscholar.org/2831/4edf425d1906eb336eef0aee6c4efce06f40.pdf
,J. Ananthi,,,,,
A Review on Current Work in Mobility Prediction for Wireless Networks,R. Chellappa Doss,,2004,,,https://pdfs.semanticscholar.org/c3b9/47c6d3a0b623d94463af9f51014b3d3619db.pdf
A Survey for Mobility Big Data Analytics for Geolocation Prediction,Chonggang Wang,IEEE Wireless Communications,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7731599
,Guangxia Xu,,,,,
,Mahmoud Daneshmand,,,,,
,Shiyi Gao,,,,,
,Yanbing Liu,,,,,
A Survey of Geographical Routing in Wireless Ad-Hoc Networks,Fraser Cadger,IEEE Communications Surveys & Tutorials,2013,10,28,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6238283
,Jose A. Santos,,,,,
,Kevin Curran,,,,,
,Sandra Moffett,,,,,
A Survey of Location Prediction on Twitter,Aixin Sun,IEEE Transactions on Knowledge and Data…,2018,1,7,https://arxiv.org/pdf/1705.03172.pdf
,Jialong Han,,,,,
,Xin Zheng,,,,,
A Survey of Location Prediction on Twitter,Aixin Sun,IEEE Transactions on Knowledge and Data…,2018,1,7,https://arxiv.org/pdf/1705.03172.pdf
,Jialong Han,,,,,
,Xin Zheng,,,,,
"A Survey on Mobile Social Networks: Applications, Platforms, System Architectures, and Future Research Directions",Edith C.-H. Ngai,IEEE Communications Surveys & Tutorials,2015,4,41,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6960871
,Henry C. B. Chan,,,,,
,Philippe Kruchten,,,,,
,Terry H. S. Chu,,,,,
,Victor C. M. Leung,,,,,
,Xiping Hu,,,,,
A Theoretical Analysis of the Geography of Schistosomiasis in Burkina Faso Highlights the Roles of Human Mobility and Water Resources Development in Disease Transmission,Javier Perez-Saez,PLoS neglected tropical diseases,2015,,6,https://pdfs.semanticscholar.org/020e/0e838f5e2b80de52602d6a07eec5df2d6429.pdf
,Lorenzo Mari,,,,,
,Song Liang,,,,,
A critical evaluation of location based services and their potential,Chris Rizos,J. Location Based Services,2007,6,7,https://pdfs.semanticscholar.org/1958/cc8d62868bd0e727e8ab12b0d4400cc7f105.pdf
,Georg Gartner,,,,,
,Hassan Karimi,,,,,
,Jonathan Raper,,,,,
A hybrid Markov-based model for human mobility prediction,Fehmi Ben Abdesslem,Neurocomputing,2018,,,http://doi.org/10.1016/j.neucom.2017.05.101
,Jie Yang,,,,,
,Xinyu Zhang,,,,,
,Yanting Zhang,,,,,
,Yuanyuan Qiao,,,,,
,Zhongwei Si,,,,,
A hybrid Markov-based model for human mobility prediction,Fehmi Ben Abdesslem,Neurocomputing,2018,,,http://doi.org/10.1016/j.neucom.2017.05.101
,Jie Yang,,,,,
,Xinyu Zhang,,,,,
,Yanting Zhang,,,,,
,Yuanyuan Qiao,,,,,
,Zhongwei Si,,,,,
A survey on Human Mobility and its applications,Fereshteh Asgari,ArXiv,2013,1,,https://arxiv.org/pdf/1307.0814.pdf
,Monique Becker,,,,,
,Vincent Gauthier,,,,,
An Analysis of the Effects of Intelligent Location Prediction Algorithms on Greedy Geographic Routing in Mobile Ad-Hoc Networks,Fraser Cadger,,2011,,,https://pdfs.semanticscholar.org/38d0/a5764780dab09935a616ed63edaf37b23176.pdf
,Jose A. Santos,,,,,
,Kevin Curran,,,,,
,Sandra Moffett,,,,,
An Empirical Study of Geographic User Activity Patterns in Foursquare,Anastasios Noulas,ICWSM,2011,19,41,https://pdfs.semanticscholar.org/fd59/f25da4eac25875c9f2f431970077e12a7d9c.pdf
,Cecilia Mascolo,,,,,
,Massimiliano Pontil,,,,,
,Salvatore Scellato,,,,,
An activity based mobility prediction strategy for next generation wireless networks,M. S. Sricharan,2006 IFIP International Conference on Wireless…,2006,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1666596
,P. V. Arun,,,,,
,V. Vaidehi,,,,,
Analyzing large-scale human mobility data: a survey of machine learning methods and applications,Boaz Lerner,Knowledge and Information Systems,2018,,,http://doi.org/10.1007/s10115-018-1186-x
,Eran Toch,,,,,
,Eyal Ben-Zion,,,,,
,Irad Ben-Gal,,,,,
Analyzing large-scale human mobility data: a survey of machine learning methods and applications,Boaz Lerner,Knowledge and Information Systems,2018,,,http://doi.org/10.1007/s10115-018-1186-x
,Eran Toch,,,,,
,Eyal Ben-Zion,,,,,
,Irad Ben-Gal,,,,,
Applying Geographical Information Systems ( GIS ) to Environmental and Resource Economics,Andrew A. Lovett,,2002,3,,https://pdfs.semanticscholar.org/7215/bba2df7c60fe9fe77482e3488c5d7b952f50.pdf
,Andy P. Jones,,,,,
,Brett Day,,,,,
