Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
9 Chapter Nine Mobile Augmented Reality,Steven K. Feiner,,2003,6,10,https://pdfs.semanticscholar.org/9650/1559fa793264331858deba44e99882b45495.pdf
,Tobias Höllerer,,,,,
A Collaborative Filtering Approach to Citywide Human Mobility Completion from Sparse Call Records,Apichon Witayangkurn,IJCAI,2016,,,https://pdfs.semanticscholar.org/2fc1/37e5c1f280ff813b22713d52d9f372038a85.pdf
,Ayumi Arai,,,,,
,Hiroshi Kanasugi,,,,,
,Ryosuke Shibasaki,,,,,
,Xuan Song,,,,,
,Zipei Fan,,,,,
A Comparison of Spatial-based Targeted Disease Containment Strategies using Mobile Phone Data,Mirco Musolesi,ArXiv,2017,,,https://arxiv.org/pdf/1706.00690.pdf
,Stefania Rubrichi,,,,,
,Zbigniew Smoreda,,,,,
A Mobility Analytical Framework for Big Mobile Data in Densely Populated Area,Jiajia Liu,IEEE Transactions on Vehicular Technology,2017,1,12,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7451262
,Jie Yang,,,,,
,Nei Kato,,,,,
,Yihang Cheng,,,,,
,Yuanyuan Qiao,,,,,
A Review of Mobile HCI Research Methods,Connor Graham,Mobile HCI,2003,31,14,https://pdfs.semanticscholar.org/1f5c/f67b7d755695f82f26fc24ce90c7fcd495c3.pdf
,Jesper Kjeldskov,,,,,
A Review of Mobile HCI Research Methods,Connor Graham,Mobile HCI,2003,31,14,https://pdfs.semanticscholar.org/1f5c/f67b7d755695f82f26fc24ce90c7fcd495c3.pdf
,Jesper Kjeldskov,,,,,
A Survey for Mobility Big Data Analytics for Geolocation Prediction,Chonggang Wang,IEEE Wireless Communications,2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7731599
,Guangxia Xu,,,,,
,Mahmoud Daneshmand,,,,,
,Shiyi Gao,,,,,
,Yanbing Liu,,,,,
"A Survey of Anticipatory Mobile Networking: Context-Based Classification, Prediction Methodologies, and Optimization Techniques",Ilaria Malanchini,IEEE Communications Surveys & Tutorials,2017,,23,https://arxiv.org/pdf/1606.00191.pdf
,Joerg Widmer,,,,,
,Matteo Cesana,,,,,
,Nicola Bui,,,,,
,Qi Liao,,,,,
,S. Amir Hosseini,,,,,
A Survey of Green Mobile Networks: Opportunities and Challenges,Athanasios V. Vasilakos,MONET,2012,9,33,https://pdfs.semanticscholar.org/e657/c2928f6b3a2e4979754061234b77006bcda9.pdf
,Min Chen,,,,,
,Ted Taekyoung Kwon,,,,,
,Xiaofei Wang,,,,,
,Yunhao Liu,,,,,
A Theoretical Analysis of the Geography of Schistosomiasis in Burkina Faso Highlights the Roles of Human Mobility and Water Resources Development in Disease Transmission,Javier Perez-Saez,PLoS neglected tropical diseases,2015,,6,https://pdfs.semanticscholar.org/020e/0e838f5e2b80de52602d6a07eec5df2d6429.pdf
,Lorenzo Mari,,,,,
,Song Liang,,,,,
A hybrid Markov-based model for human mobility prediction,Fehmi Ben Abdesslem,Neurocomputing,2018,,,http://doi.org/10.1016/j.neucom.2017.05.101
,Jie Yang,,,,,
,Xinyu Zhang,,,,,
,Yanting Zhang,,,,,
,Yuanyuan Qiao,,,,,
,Zhongwei Si,,,,,
A hybrid Markov-based model for human mobility prediction,Fehmi Ben Abdesslem,Neurocomputing,2018,,,http://doi.org/10.1016/j.neucom.2017.05.101
,Jie Yang,,,,,
,Xinyu Zhang,,,,,
,Yanting Zhang,,,,,
,Yuanyuan Qiao,,,,,
,Zhongwei Si,,,,,
A probabilistic kernel method for human mobility prediction with smartphones,Daniel Gatica-Perez,Pervasive and Mobile Computing,2015,1,,http://doi.org/10.1016/j.pmcj.2014.09.001
,Markus Miettinen,,,,,
,Olivier Dousse,,,,,
,Trinh Minh Tri Do,,,,,
"A review of urban computing for mobile phone traces: current methods, challenges and opportunities",Emilio Frazzoli,UrbComp@KDD,2013,5,16,http://dl.acm.org/citation.cfm?id=2505828
,Gaston A. Fiore,,,,,
,Joseph Ferreira,,,,,
,Marta C. González,,,,,
,Shan Jiang,,,,,
,Yingxiang Yang,,,,,
A survey of evaluation methods for personal route and destination prediction from mobility traces,Indr_ Žliobait_,Wiley Interdiscip. Rev. Data Min. Knowl. Discov.,2018,,,http://doi.org/10.1002/widm.1237
,Jaakko Hollmén,,,,,
,Jesse Read,,,,,
,Roelant A. Stegmann,,,,,
,Tuukka Tolvanen,,,,,
A survey of results on mobile phone datasets analysis,Adeline Decuyper,EPJ Data Science,2015,2,53,https://arxiv.org/pdf/1502.03406.pdf
,Gautier Krings,,,,,
,Vincent D. Blondel,,,,,
A survey of results on mobile phone datasets analysis,Adeline Decuyper,EPJ Data Science,2015,2,53,https://arxiv.org/pdf/1502.03406.pdf
,Gautier Krings,,,,,
,Vincent D. Blondel,,,,,
A survey of results on mobile phone datasets analysis,Adeline Decuyper,EPJ Data Science,2015,2,53,https://arxiv.org/pdf/1502.03406.pdf
,Gautier Krings,,,,,
,Vincent D. Blondel,,,,,
A survey on Human Mobility and its applications,Fereshteh Asgari,ArXiv,2013,1,,https://arxiv.org/pdf/1307.0814.pdf
,Monique Becker,,,,,
,Vincent Gauthier,,,,,
Activity-Aware Map: Identifying Human Daily Activity Pattern Using Mobile Phone Data,Carlo Ratti,HBU,2010,3,28,https://pdfs.semanticscholar.org/5ed0/a2645dc41dd5fa1928d1d66a5c0412760f10.pdf
,Giusy Di Lorenzo,,,,,
,Ryosuke Shibasaki,,,,,
,Santi Phithakkitnukoon,,,,,
,Teerayut Horanont,,,,,
An analytical framework to nowcast well-being using mobile phone data,Dino Pedreschi,International Journal of Data Science and…,2016,,11,https://arxiv.org/pdf/1606.06279.pdf
,Fosca Giannotti,,,,,
,Lorenzo Gabrielli,,,,,
,Luca Pappalardo,,,,,
,Maarten Vanhoof,,,,,
,Zbigniew Smoreda,,,,,
An improved Markov method for prediction of user mobility,Jie Yang,2016 12th International Conference on Network and…,2016,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7818454
,Yihang Cheng,,,,,
,Yuanyuan Qiao,,,,,
Analyzing large-scale human mobility data: a survey of machine learning methods and applications,Boaz Lerner,Knowledge and Information Systems,2018,,,http://doi.org/10.1007/s10115-018-1186-x
,Eran Toch,,,,,
,Eyal Ben-Zion,,,,,
,Irad Ben-Gal,,,,,
Analyzing the spread of chagas disease with mobile phone data,Alejo Salles,2016 IEEE/ACM International Conference on…,2016,,,https://arxiv.org/pdf/1707.01149.pdf
,Carlos Sarraute,,,,,
,Juan de Monasterio,,,,,
Anticipatory Mobile Computing: A Survey of the State of the Art and Research Challenges,Mirco Musolesi,ACM Comput. Surv.,2015,6,32,https://arxiv.org/pdf/1306.2356.pdf
,Veljko Pejovic,,,,,
Approaching the Limit of Predictability in Human Mobility,Andrew J. Tatem,Scientific reports,2013,5,47,https://pdfs.semanticscholar.org/543d/37c5e4dc2d7e9f6d359833b8228aece7c0a3.pdf
,Erik Wetter,,,,,
,Linus Bengtsson,,,,,
,Nita Bharti,,,,,
,Xin Lu,,,,,
Are Mobile Payment and Banking the Killer Apps for Mobile Commerce?,Qing Hu,Proceedings of the 41st Annual Hawaii…,2008,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4438787
,Wenli Li,,,,,
,Xianpei Hu,,,,,
Are mobile phones changing social networks? A longitudinal study of core networks in Kerala,Antony Palackal,New Media & Society,2011,,,https://pdfs.semanticscholar.org/919a/84b560da1a3a9c18a239710919ea033a4f8c.pdf
,Dan-Bright Dzorgbo,,,,,
,Marcus Ynalvez,,,,,
,Paul Mbatia,,,,,
,Ricardo B. Duque,,,,,
,Wesley Shrum,,,,,
Are you altruistic? Your mobile phone could tell,Ghassan F. Bati,"2017 IEEE SmartWorld, Ubiquitous Intelligence…",2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8397659
,Vivek K. Singh,,,,,
Are you altruistic? Your mobile phone could tell,Ghassan F. Bati,"2017 IEEE SmartWorld, Ubiquitous Intelligence…",2017,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8397659
,Vivek K. Singh,,,,,
Are you getting sick? Predicting influenza-like symptoms using human mobility behaviors,Abhinav Mehrotra,EPJ Data Science,2017,,,http://doi.org/10.1140/epjds%2Fs13688-017-0124-6
,Bruno Lepri,,,,,
,Christos Perentis,,,,,
,Gianni Barlacchi,,,,,
,Mirco Musolesi,,,,,
Assessing reliable human mobility patterns from higher-order memory in mobile communications,Alexandre Arenas,"Journal of the Royal Society, Interface",2016,,,https://arxiv.org/pdf/1603.05903.pdf
,Joan T. Matamalas,,,,,
,Manlio De Domenico,,,,,
Augmented Betweenness Centrality for Mobility Prediction in Transportation Networks,Alex,,2012,,,https://pdfs.semanticscholar.org/1a73/7f3e492f912323a189f3139cb632950dd9b7.pdf
,Rami Puzis,,,,,
,Shlomo Bekhor,,,,,
