Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
A Framework to Model Human Behavior at Large Scale during Natural Disasters,Gautier Krings,2016 17th IEEE International Conference on Mobile…,2016,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7517774
,Jay Ghurye,,,,,
,Vanessa Frías-Martínez,,,,,
A Mobility Model of Theme Park Visitors,Damla Turgut,IEEE Transactions on Mobile Computing,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7031936
,Gürkan Solmaz,,,,,
,Mustafa Ilhan Akbas,,,,,
A Survey on Mobility Models for Wireless Networks,Andrea G. Ribeiro,,2011,1,,https://pdfs.semanticscholar.org/a2a9/b72a632e32174dda7bbbd8ded04212ea0075.pdf
,Rute Sofia,,,,,
A Survey on Mobility and Mobility-Aware MAC Protocols in Wireless Sensor Networks,Qian Dong,IEEE Communications Surveys & Tutorials,2013,4,24,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6148190
,Waltenegus Dargie,,,,,
A Tale of Many Cities: Universal Patterns in Human Urban Mobility,Anastasios Noulas,PloS one,2012,19,58,https://arxiv.org/pdf/1108.5355.pdf
,Cecilia Mascolo,,,,,
,Massimiliano Pontil,,,,,
,Renaud Lambiotte,,,,,
,Salvatore Scellato,,,,,
A framework for mobility models generation and its application to inter-vehicular networks,Cristian Bonnet,2005 International Conference on Wireless…,2005,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1549382
,Fethi Filali,,,,,
,Jerome Harri,,,,,
A framework for modeling spatial node density in waypoint-based mobility,Bruno Astuto A. Nunes,Wireless Networks,2014,1,,https://pdfs.semanticscholar.org/7621/6b0ce9e5f7904ed21a3f70317c346cbc3078.pdf
,Katia Obraczka,,,,,
A hybrid Markov-based model for human mobility prediction,Fehmi Ben Abdesslem,Neurocomputing,2018,,,http://doi.org/10.1016/j.neucom.2017.05.101
,Jie Yang,,,,,
,Xinyu Zhang,,,,,
,Yanting Zhang,,,,,
,Yuanyuan Qiao,,,,,
,Zhongwei Si,,,,,
A mobility model based on WLAN traces and its validation,Cristian Tuduce,Proceedings IEEE 24th Annual Joint Conference of…,2005,19,8,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1497932
,Thomas R. Gross,,,,,
A social-cognitive model to predict the use of assistive devices for mobility and self-care in elderly people.,Ann Buysse,The Gerontologist,2002,1,,https://www.ncbi.nlm.nih.gov/pubmed/11815698
,Annemarie Depoorter,,,,,
,Marc Roelands,,,,,
,Paulette Van Oost,,,,,
A survey of mobility models for ad hoc network research,Jeff Boleng,Wireless Communications and Mobile Computing,2002,310,169,https://pdfs.semanticscholar.org/184b/0ff0ef4287d0e95adb0da6cf61cc59fbf631.pdf
,Tracy Camp,,,,,
,Vanessa Davies,,,,,
A survey of mobility models for ad hoc network research,Jeff Boleng,Wireless Communications and Mobile Computing,2002,310,169,https://pdfs.semanticscholar.org/184b/0ff0ef4287d0e95adb0da6cf61cc59fbf631.pdf
,Tracy Camp,,,,,
,Vanessa Davies,,,,,
A survey of social based mobility models for ad hoc networks,Basak Oztas,2011 2nd International Conference on Wireless…,2011,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5940826
,Emin Anarim,,,,,
,Tolga Kurt,,,,,
A survey on Human Mobility and its applications,Fereshteh Asgari,ArXiv,2013,1,,https://arxiv.org/pdf/1307.0814.pdf
,Monique Becker,,,,,
,Vincent Gauthier,,,,,
A two-scale network dynamic model for human mobility process.,Divine Wanduku,Mathematical biosciences,2011,,,https://www.ncbi.nlm.nih.gov/pubmed/21129385
,Gangaram S. Ladde,,,,,
A two-scale network dynamic model for human mobility process.,Divine Wanduku,Mathematical biosciences,2011,,,https://www.ncbi.nlm.nih.gov/pubmed/21129385
,Gangaram S. Ladde,,,,,
Aggregate Human Mobility Modeling Using Principal Component Analysis,Hongbo Si,JoWUA,2010,,,https://pdfs.semanticscholar.org/ac27/16bad8450a22b9ee38ce5af8e6d8f09b0431.pdf
,Jian Yuan,,,,,
,Jingbo Sun,,,,,
,Xiuming Shan,,,,,
,Yue Wang,,,,,
An agenda based mobility model,Jun Liu,39th Annual Simulation Symposium (ANSS'06),2006,2,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1612859
,Qunwei Zheng,,,,,
,Xiaoyan Hong,,,,,
Analyzing Adaptive Strategies : Human Behavioral Ecology at Twenty-Five,Bruce Winterhalder,,2000,8,,https://pdfs.semanticscholar.org/f891/1a8c5c56a926542068ed52200636597cb170.pdf
,Eric A. Smith,,,,,
Approaching the Limit of Predictability in Human Mobility,Andrew J. Tatem,Scientific reports,2013,5,47,https://pdfs.semanticscholar.org/543d/37c5e4dc2d7e9f6d359833b8228aece7c0a3.pdf
,Erik Wetter,,,,,
,Linus Bengtsson,,,,,
,Nita Bharti,,,,,
,Xin Lu,,,,,
Are you getting sick? Predicting influenza-like symptoms using human mobility behaviors,Abhinav Mehrotra,EPJ Data Science,2017,,,http://doi.org/10.1140/epjds%2Fs13688-017-0124-6
,Bruno Lepri,,,,,
,Christos Perentis,,,,,
,Gianni Barlacchi,,,,,
,Mirco Musolesi,,,,,
Behavior modeling and forensics for multimedia social networks,H.V. Zhao,IEEE Signal Processing Magazine,2009,1,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4775884
,K. J. Ray Liu,,,,,
,W. Lin,,,,,
Characteristics of mobility models for mobile ad hoc networks,Abdulrahman H. Al-Talhi,2009 IEEE International Conference on Signal and…,2009,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5478718
,Lama J. Madany,,,,,
,Mohamed A. Madkour,,,,,
Characterizing the human mobility pattern in a large street network.,Bin Jiang,"Physical review. E, Statistical, nonlinear, and…",2009,7,21,https://pdfs.semanticscholar.org/eb70/f4f41422694a5a803bf903baa0047f992638.pdf
,Junjun Yin,,,,,
,Sijian Zhao,,,,,
CityCoupling: bridging intercity human mobility,Hodaka Kaneda,UbiComp,2016,,,http://dl.acm.org/citation.cfm?id=2971737
,Ryosuke Shibasaki,,,,,
,Tao Li,,,,,
,Xuan Song,,,,,
,Zipei Fan,,,,,
Contextual conditional models for smartphone-based human mobility prediction,Daniel Gatica-Perez,UbiComp,2012,3,15,http://dl.acm.org/citation.cfm?id=2370242
,Trinh Minh Tri Do,,,,,
Correlations and Scaling Laws in Human Mobility,Bing-Hong Wang,PloS one,2014,,,https://arxiv.org/pdf/1303.5844.pdf
,Xiang-Wen Wang,,,,,
,Xiao-Pu Han,,,,,
Coupling Human Mobility and Social Ties,Carlos Herrera-Yagüe,"Journal of the Royal Society, Interface",2015,,20,https://arxiv.org/pdf/1502.00690.pdf
,Christian M. Schneider,,,,,
,Jameson L. Toole,,,,,
,Marta C. González,,,,,
Crowd sensing of traffic anomalies based on human mobility and social media,Bei Pan,SIGSPATIAL/GIS,2013,3,55,http://dl.acm.org/citation.cfm?id=2525343
,Cyrus Shahabi,,,,,
,David Wilkie,,,,,
,Yu Zheng,,,,,
Daily travel behavior: lessons from a week-long survey for the extraction of human mobility motifs related information,Christian M. Schneider,UrbComp@KDD,2013,,,http://dl.acm.org/citation.cfm?id=2505829
,Christian Rudloff,,,,,
,Dietmar Bauer,,,,,
,Marta C. González,,,,,
Data-driven Human Mobility Modeling: A Survey and Engineering Guidance for Mobile Networking,Andrea Hess,ACM Comput. Surv.,2015,1,10,http://dl.acm.org/citation.cfm?id=2840722
,Günter Haring,,,,,
,Karin Anna Hummel,,,,,
,Wilfried N. Gansterer,,,,,
Data-driven Human Mobility Modeling: A Survey and Engineering Guidance for Mobile Networking,Andrea Hess,ACM Comput. Surv.,2015,1,10,http://dl.acm.org/citation.cfm?id=2840722
,Günter Haring,,,,,
,Karin Anna Hummel,,,,,
,Wilfried N. Gansterer,,,,,
Data-driven generation of spatio-temporal routines in human mobility,Filippo Simini,Data Mining and Knowledge Discovery,2017,,,https://arxiv.org/pdf/1607.05952.pdf
,Luca Pappalardo,,,,,
