Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
A Framework for Protecting Worker Location Privacy in Spatial Crowdsourcing,Cyrus Shahabi,PVLDB,2014,11,66,https://pdfs.semanticscholar.org/a329/997fe372ec0469b8e5d324497d2552021aab.pdf
,Gabriel Ghinita,,,,,
,Hien To,,,,,
A Seq2Seq learning approach for modeling semantic trajectories and predicting the next location,Adrian Jablonski,SIGSPATIAL/GIS,2018,,,http://dl.acm.org/citation.cfm?id=3274983
,Antonios Karatzoglou,,,,,
,Michael Beigl,,,,,
A Seq2Seq learning approach for modeling semantic trajectories and predicting the next location,Adrian Jablonski,SIGSPATIAL/GIS,2018,,,http://dl.acm.org/citation.cfm?id=3274983
,Antonios Karatzoglou,,,,,
,Michael Beigl,,,,,
A predictive location model for location-based services,Hassan A. Karimi,GIS,2003,8,,http://dl.acm.org/citation.cfm?id=956693
,Xiong Liu,,,,,
A scalable location service for geographic ad hoc routing,David R. Karger,MobiCom,2000,160,33,http://dl.acm.org/citation.cfm?id=345931
,Douglas S. J. De Couto,,,,,
,Jinyang Li,,,,,
,John Jannotti,,,,,
,Robert Tappan Morris,,,,,
A survey of computational location privacy,John Krumm,Personal and Ubiquitous Computing,2008,21,62,http://doi.org/10.1007/s00779-008-0212-5
A survey of sequence alignment algorithms for next-generation sequencing,Heng Li,Briefings in Bioinformatics,2010,32,104,https://pdfs.semanticscholar.org/c399/8c2f1f472b3e405dd43e9e1994c18b3bf396.pdf
,Nils Homer,,,,,
A time-aware trajectory embedding model for next-location recommendation,Aixin Sun,Knowledge and Information Systems,2017,,,http://doi.org/10.1007/s10115-017-1107-4
,Edward Y. Chang,,,,,
,Ji-Rong Wen,,,,,
,Jialong Han,,,,,
,Ningnan Zhou,,,,,
,Wayne Xin Zhao,,,,,
Adaptive On-Device Location Recognition,Hannu Toivonen,Pervasive,2004,8,,https://pdfs.semanticscholar.org/db40/6cd6d1ae197902fa8ff36540dc30369b3c07.pdf
,Kari Laasonen,,,,,
