Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
A Multiscale Landscape Approach to Predicting Bird and Moth Rarity Hotspots in a Threatened Pitch Pine – Scrub Oak Community,Curtice R. Griffin,,2004,1,,https://pdfs.semanticscholar.org/d5a6/e4fb32e4c40b7df2ddc71a37fc40967c66fb.pdf
,Joanna Grand,,,,,
,John P Buonaccorsi,,,,,
,Maile C. Neel,,,,,
,Samuel A. Cushman,,,,,
A dynamic influence model of social network hotspot based on grey system,Jing Ma,Science China Information Sciences,2015,,,http://doi.org/10.1007/s11432-015-5439-y
,Yanbing Liu,,,,,
,Yunpeng Xiao,,,,,
,Zhixian Yan,,,,,
A novel Bayesian hierarchical model for road safety hotspot prediction.,Joseph Matthews,Accident; analysis and prevention,2017,,,https://www.ncbi.nlm.nih.gov/pubmed/27987412
,Karsten Kremer,,,,,
,Lee Fawcett,,,,,
,Neil Thorpe,,,,,
A space-time point process model for analyzing and predicting case patterns of diarrheal disease in northwestern Ecuador.,Bhramar Mukherjee,Spatial and spatio-temporal epidemiology,2014,,,https://www.ncbi.nlm.nih.gov/pubmed/24889991
,Darlene Bhavnani,,,,,
,Jaeil Ahn,,,,,
,Joseph N. S. Eisenberg,,,,,
,Timothy D. Johnson,,,,,
Activating K-Ras mutations outwith ‘hotspot' codons in sporadic colorectal tumours – implications for personalised cancer medicine,C. R. Wolf,British Journal of Cancer,2010,2,,http://doi.org/10.1038/sj.bjc.6605534
,Frank A. Carey,,,,,
,Gillian L F Smith,,,,,
,H. -R. Wolf,,,,,
,Rebecca Bounds,,,,,
,Robert J. C. Steele,,,,,
Aggregation propensities of superoxide dismutase G93 hotspot mutants mirror ALS clinical phenotypes.,Ashley J. Pratt,Proceedings of the National Academy of Sciences…,2014,,,https://pdfs.semanticscholar.org/36c9/7478cfe34d7f9fa36f306224cd1bd606ccd8.pdf
,David S. Shin,,,,,
,Elizabeth D. Getzoff,,,,,
An Agent-based Decision Support System for the Introduction of Next Generation Mobile Services,Jens Wohltorf,,2004,,,https://pdfs.semanticscholar.org/d891/b4d0d3ceb80c2b1c1df4334803321a167f7e.pdf
,Sahin Albayrak,,,,,
An evolutionary view on thylakoid protein phosphorylation uncovers novel phosphorylation hotspots with potential functional implications.,Arpit Jain,Journal of experimental botany,2016,,,https://www.ncbi.nlm.nih.gov/pubmed/27117338
,Ingo Ebersberger,,,,,
,Markus Teige,,,,,
,Michele Grieco,,,,,
Analysis of Fifty Hotspot Mutations of Lung Squamous Cell Carcinoma in Never-smokers,Ha Youn Lee,Journal of Korean medical science,2017,1,,https://pdfs.semanticscholar.org/1a10/181408a76dae20d4fe3567ccf3d3353f04e6.pdf
,Se Hoon Lee,,,,,
,Young Sik Park,,,,,
Analysis of Fifty Hotspot Mutations of Lung Squamous Cell Carcinoma in Never-smokers,Ha Youn Lee,Journal of Korean medical science,2017,1,,https://pdfs.semanticscholar.org/1a10/181408a76dae20d4fe3567ccf3d3353f04e6.pdf
,Se Hoon Lee,,,,,
,Young Sik Park,,,,,
Analysis of Fifty Hotspot Mutations of Lung Squamous Cell Carcinoma in Never-smokers,Ha Youn Lee,Journal of Korean medical science,2017,1,,https://pdfs.semanticscholar.org/1a10/181408a76dae20d4fe3567ccf3d3353f04e6.pdf
,Se Hoon Lee,,,,,
,Young Sik Park,,,,,
Application of Predictive Distribution Modelling to Invertebrates: Odonata in South Africa,Jemma M. Finch,Biodiversity & Conservation,2005,1,,http://doi.org/10.1007/s10531-005-3577-z
,Michael John Samways,,,,,
,Steven E. Piper,,,,,
,Stuart Taylor,,,,,
,Trevor R. Hill,,,,,
Application of coalescent methods to reveal fine-scale rate variation and recombination hotspots.,Julie A Schneider,Genetics,2004,1,,https://pdfs.semanticscholar.org/afc3/9a14f7111733bf4bcca01c7e3f8800722f9d.pdf
,Paul Fearnhead,,,,,
,Peter Donnelly,,,,,
,Rosalind M. Harding,,,,,
,Simon Richard Myers,,,,,
Beyond BRAFV600: clinical mutation panel testing by next-generation sequencing in advanced melanoma,Alan E. Siroy,The Journal of investigative dermatology,2015,3,,https://pdfs.semanticscholar.org/161c/7fe920eda577ef5dcc7b32e4f07d1548df96.pdf
,Genevieve Marie Boland,,,,,
