Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
A Hierarchical Representation for Future Action Prediction,Silvio Savarese,ECCV,2014,18,51,https://pdfs.semanticscholar.org/97d2/caf892628df45ede18634f4582cc149e52af.pdf
,Tian Lan,,,,,
,Tsung-Chuan Chen,,,,,
A Hierarchical Representation for Future Action Prediction,Silvio Savarese,ECCV,2014,18,51,https://pdfs.semanticscholar.org/97d2/caf892628df45ede18634f4582cc149e52af.pdf
,Tian Lan,,,,,
,Tsung-Chuan Chen,,,,,
A Seq2Seq learning approach for modeling semantic trajectories and predicting the next location,Adrian Jablonski,SIGSPATIAL/GIS,2018,,,http://dl.acm.org/citation.cfm?id=3274983
,Antonios Karatzoglou,,,,,
,Michael Beigl,,,,,
A Seq2Seq learning approach for modeling semantic trajectories and predicting the next location,Adrian Jablonski,SIGSPATIAL/GIS,2018,,,http://dl.acm.org/citation.cfm?id=3274983
,Antonios Karatzoglou,,,,,
,Michael Beigl,,,,,
A conceptual view on trajectories,Christelle Vangenot,Data Knowl. Eng.,2008,20,42,http://doi.org/10.1016/j.datak.2007.10.008
,Christine Parent,,,,,
,Fábio Porto,,,,,
,José Antônio Fernandes de Macêdo,,,,,
,Maria Luisa Damiani,,,,,
,Stefano Spaccapietra,,,,,
A framework for predicting trajectories using global and local information,Ernesto Nunes,Conf. Computing Frontiers,2014,,,http://dl.acm.org/citation.cfm?id=2597934
,Maria L. Gini,,,,,
,William Groves,,,,,
A system for destination and future route prediction based on trajectory mining,Gencai Chen,Pervasive and Mobile Computing,2010,3,10,http://doi.org/10.1016/j.pmcj.2010.08.004
,Ling Chen,,,,,
,Mingqi Lv,,,,,
A time-aware trajectory embedding model for next-location recommendation,Aixin Sun,Knowledge and Information Systems,2017,,,http://doi.org/10.1007/s10115-017-1107-4
,Edward Y. Chang,,,,,
,Ji-Rong Wen,,,,,
,Jialong Han,,,,,
,Ningnan Zhou,,,,,
,Wayne Xin Zhao,,,,,
Advances in Modeling and Simulation Capabilities for Predicting Store Trajectories – Past Success and Future Challenges,Alexis Cenko,,2007,,,https://pdfs.semanticscholar.org/693c/894405842ea830ad8d2cb9e2472755d9fd38.pdf
Aircraft Trajectory Prediction Made Easy with Predictive Analytics,Hanan Samet,KDD,2016,2,5,http://dl.acm.org/citation.cfm?id=2939694
,Samet Ayhan,,,,,
Algorithms for Matching and Predicting Trajectories,Andre Herbst,ALENEX,2011,1,,https://pdfs.semanticscholar.org/5b1d/4e9ad74125133aacf6632404b38b92f88693.pdf
,Andreas Spillner,,,,,
,Jochen Eisner,,,,,
,Sabine Storandt,,,,,
,Stefan Funke,,,,,
Anticipating the future by watching unlabeled video,Antonio Torralba,ArXiv,2015,7,27,https://pdfs.semanticscholar.org/0fb3/b63090f95af97723efe565893eb25ea9188c.pdf
,Carl Vondrick,,,,,
,Hamed Pirsiavash,,,,,
BRVO: Predicting pedestrian trajectories using velocity-space reasoning,Dinesh Manocha,I. J. Robotics Res.,2015,2,15,https://pdfs.semanticscholar.org/4d10/231296917d0738ddaeae1a5db0e963d36915.pdf
,Stephen J. Guy,,,,,
,Sunyoung Kim,,,,,
Behavioral medicine: a voyage to the future.,Francis J. Keefe,Annals of behavioral medicine : a publication of…,2011,,,https://www.ncbi.nlm.nih.gov/pubmed/21264691
"Brain–machine interfaces: past, present and future",Miguel A. L Nicolelis,Trends in Neurosciences,2006,32,189,https://www.sciencedirect.com/science/article/pii/S0166223606001470?dgcid=api_sd_search-api-endpoint
,Mikhail A. Lebedev,,,,,
"Brain–machine interfaces: past, present and future",Miguel A. L Nicolelis,Trends in Neurosciences,2006,32,189,https://www.sciencedirect.com/science/article/pii/S0166223606001470?dgcid=api_sd_search-api-endpoint
,Mikhail A. Lebedev,,,,,
