Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
A Comparison of Scoring Metrics for Predicting the Next Navigation Step with Markov Model-Based Systems,José Luis Cabral de Moura Borges,International Journal of Information Technology…,2010,,,https://pdfs.semanticscholar.org/488e/57cd44868e0e06fbf8c38e6a4fb53a75a39f.pdf
,Mark Levene,,,,,
A Dynamic Recurrent Model for Next Basket Recommendation,Feng Yu,SIGIR,2016,11,18,http://dl.acm.org/citation.cfm?id=2914683
,Liang Wang,,,,,
,Qiang Liu,,,,,
,Shu Wu,,,,,
,Tieniu Tan,,,,,
A Framework for next Generation Machinery Monitoring and Diagnostics,Karl Reichard,,2002,,,https://pdfs.semanticscholar.org/a36b/cfe999dc5b0c77611204d0b1614d13727563.pdf
,Mitchell Lebold,,,,,
A Seq2Seq learning approach for modeling semantic trajectories and predicting the next location,Adrian Jablonski,SIGSPATIAL/GIS,2018,,,http://dl.acm.org/citation.cfm?id=3274983
,Antonios Karatzoglou,,,,,
,Michael Beigl,,,,,
A cross-sectional study examining predictors of visit frequency to local green space and the impact this has on physical activity levels,Elliott P Flowers,BMC public health,2016,1,,https://pdfs.semanticscholar.org/5cb9/9cace3d862f6837eaf2716c2b1c8f59eace5.pdf
,Paul Freeman,,,,,
,Valerie F Gladwell,,,,,
A cross-sectional study examining predictors of visit frequency to local green space and the impact this has on physical activity levels,Elliott P Flowers,BMC public health,2016,1,,https://pdfs.semanticscholar.org/5cb9/9cace3d862f6837eaf2716c2b1c8f59eace5.pdf
,Paul Freeman,,,,,
,Valerie F Gladwell,,,,,
A survey of sequence alignment algorithms for next-generation sequencing,Heng Li,Briefings in Bioinformatics,2010,32,104,https://pdfs.semanticscholar.org/c399/8c2f1f472b3e405dd43e9e1994c18b3bf396.pdf
,Nils Homer,,,,,
A survey of sequence alignment algorithms for next-generation sequencing,Heng Li,Briefings in Bioinformatics,2010,32,104,https://pdfs.semanticscholar.org/c399/8c2f1f472b3e405dd43e9e1994c18b3bf396.pdf
,Nils Homer,,,,,
AccessRank: predicting what users will do next,Andy Cockburn,CHI,2012,3,,http://dl.acm.org/citation.cfm?id=2208380
,Stephen Fitchett,,,,,
Active recognition through next view planning: a survey,Santanu Chaudhury,Pattern Recognition,2004,3,8,http://doi.org/10.1016/j.patcog.2003.01.002
,Subhashis Banerjee,,,,,
,Sumantra Dutta Roy,,,,,
