Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
A Review on the Influence of Social Attachment on Human Mobility During Crises,Carole Adam,ISCRAM,2017,1,,https://pdfs.semanticscholar.org/4178/9b5737f066a69343fef7de8d3e8bc15dc5a5.pdf
,Elise Beck,,,,,
,Julie Dugdale,,,,,
,Julius Bañgate,,,,,
A Survey on Mobility Models for Wireless Networks,Andrea G. Ribeiro,,2011,1,,https://pdfs.semanticscholar.org/a2a9/b72a632e32174dda7bbbd8ded04212ea0075.pdf
,Rute Sofia,,,,,
A Survey on Mobility and Mobility-Aware MAC Protocols in Wireless Sensor Networks,Qian Dong,IEEE Communications Surveys & Tutorials,2013,4,24,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6148190
,Waltenegus Dargie,,,,,
A Survey on Routing Techniques Supporting Mobility in Sensor Networks,Christoforos Panayiotou,2009 Fifth International Conference on Mobile Ad…,2009,3,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5401553
,Theofanis P. Lambrou,,,,,
A refined limit on the predictability of human mobility,Duncan Barrack,2014 IEEE International Conference on Pervasive…,2014,2,11,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6813948
,Gavin Smith,,,,,
,James Goulding,,,,,
,Romain Wieser,,,,,
A refined limit on the predictability of human mobility,Duncan Barrack,2014 IEEE International Conference on Pervasive…,2014,2,11,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6813948
,Gavin Smith,,,,,
,James Goulding,,,,,
,Romain Wieser,,,,,
Agenda driven mobility modelling,David Cordes,IJAHUC,2010,1,,https://pdfs.semanticscholar.org/536b/cb21de6bedb8bec9979814ab4c008b114f12.pdf
,Jun Liu,,,,,
,Qunwei Zheng,,,,,
,Wan Huang,,,,,
,Xiaoyan Hong,,,,,
An alternative approach to the limits of predictability in human mobility,Anders Mollgaard,EPJ Data Science,2017,2,,http://doi.org/10.1140/epjds%2Fs13688-017-0107-7
,K. G&#x00FC;lnihar,,,,,
An alternative approach to the limits of predictability in human mobility,Anders Mollgaard,EPJ Data Science,2017,2,,http://doi.org/10.1140/epjds%2Fs13688-017-0107-7
,K. G&#x00FC;lnihar,,,,,
"Analysing the mobility, predictability and evolution of WLAN users",Ahmed Helmy,IJAACS,2014,,,http://doi.org/10.1504/IJAACS.2014.058020
,Jeeyoung Kim,,,,,
Analyzing large-scale human mobility data: a survey of machine learning methods and applications,Boaz Lerner,Knowledge and Information Systems,2018,,,http://doi.org/10.1007/s10115-018-1186-x
,Eran Toch,,,,,
,Eyal Ben-Zion,,,,,
,Irad Ben-Gal,,,,,
Approaching the Limit of Predictability in Human Mobility,Andrew J. Tatem,Scientific reports,2013,5,47,https://pdfs.semanticscholar.org/543d/37c5e4dc2d7e9f6d359833b8228aece7c0a3.pdf
,Erik Wetter,,,,,
,Linus Bengtsson,,,,,
,Nita Bharti,,,,,
,Xin Lu,,,,,
Data-driven Human Mobility Modeling: A Survey and Engineering Guidance for Mobile Networking,Andrea Hess,ACM Comput. Surv.,2015,1,10,http://dl.acm.org/citation.cfm?id=2840722
,Günter Haring,,,,,
,Karin Anna Hummel,,,,,
,Wilfried N. Gansterer,,,,,
Evolution and Ecology of Species Range Limits,Amy Lauren Angert,,2014,29,225,https://pdfs.semanticscholar.org/648c/6cab051bb67c7519d68dc1c75cca9471fb64.pdf
,Jason P. Sexton,,,,,
,Kevin J. Rice,,,,,
,Patrick J. McIntyre,,,,,
Friendship and mobility: user movement in location-based social networks,Eunjoon Cho,KDD,2011,200,314,http://dl.acm.org/citation.cfm?id=2020579
,Jure Leskovec,,,,,
,Seth A. Myers,,,,,
Human mobility and predictability enriched by social phenomena information,Alejo Salles,2013 IEEE/ACM International Conference on…,2013,,,https://arxiv.org/pdf/1311.5917.pdf
,Carlos Sarraute,,,,,
,Nicolas Ponieman,,,,,
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",Behrouz Jedari,J. Network and Computer Applications,2014,,55,http://doi.org/10.1016/j.jnca.2014.03.007
,Feng Xia,,,,,
,Guowei Wu,,,,,
,Poria Pirozmand,,,,,
"Human mobility in opportunistic networks: Characteristics, models and prediction methods",Behrouz Jedari,J. Network and Computer Applications,2014,,55,http://doi.org/10.1016/j.jnca.2014.03.007
,Feng Xia,,,,,
,Guowei Wu,,,,,
,Poria Pirozmand,,,,,
Human mobility modeling at metropolitan scales,Richard A. Becker,MobiSys,2012,11,36,http://dl.acm.org/citation.cfm?id=2307659
,Sibren Isaacman,,,,,
,Walter Willinger,,,,,
Human mobility models for opportunistic networks,Andrea Passarella,IEEE Communications Magazine,2011,5,28,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6094021
,Chiara Boldrini,,,,,
,Dmytro Karamshuk,,,,,
,Marco Conti,,,,,
Human mobility models for opportunistic networks,Andrea Passarella,IEEE Communications Magazine,2011,5,28,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6094021
,Chiara Boldrini,,,,,
,Dmytro Karamshuk,,,,,
,Marco Conti,,,,,
"Human mobility, social ties, and link prediction",Albert-László Barabási,KDD,2011,28,70,http://dl.acm.org/citation.cfm?id=2020581
,Chaoming Song,,,,,
,Dashun Wang,,,,,
,Dino Pedreschi,,,,,
,Fosca Giannotti,,,,,
Ineffectiveness of Dictionary Coding to Infer Predictability Limits of Human Mobility,Yunheng Han,ArXiv,2018,,,https://arxiv.org/pdf/1810.06405.pdf
Intergenerational Mobility in Latin America,Alejandro Gaviria,,2001,5,,https://pdfs.semanticscholar.org/2721/009f402d6f88f0b6d95dd993b7bf4d4991fb.pdf
,Miguel Székely,,,,,
Ion mobility mass spectrometry of proteins and protein assemblies.,Albert J. R. Heck,Chemical Society reviews,2010,8,,https://www.ncbi.nlm.nih.gov/pubmed/20419213
,Charlotte Uetrecht,,,,,
,Esther van Duijn,,,,,
,Kristina Lorenzen,,,,,
,Rebecca J. Rose,,,,,
