Título do Artigo,Autores,Origem da Publicação,Ano de Publicação,Fator de Influência,Velocidade de Citação,Link do artigo
A Communications-Oriented Perspective on Traffic Management Systems for Smart Cities: Challenges and Innovative Approaches,Gabriel-Miro Muntean,IEEE Communications Surveys & Tutorials,2015,7,36,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6857980
,John Murphy,,,,,
,Ronan Doolan,,,,,
,Soufiene Djahel,,,,,
A Communications-Oriented Perspective on Traffic Management Systems for Smart Cities: Challenges and Innovative Approaches,Gabriel-Miro Muntean,IEEE Communications Surveys & Tutorials,2015,7,36,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6857980
,John Murphy,,,,,
,Ronan Doolan,,,,,
,Soufiene Djahel,,,,,
A Comprehensive Survey of Recommendation System Based on Taxi GPS Trajectory,Biqing Huang,2015 International Conference on Service Science…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7400780
,Yuanhang Hu,,,,,
,Yujiu Yang,,,,,
A Comprehensive Survey of Recommendation System Based on Taxi GPS Trajectory,Biqing Huang,2015 International Conference on Service Science…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7400780
,Yuanhang Hu,,,,,
,Yujiu Yang,,,,,
A Comprehensive Survey of Recommendation System Based on Taxi GPS Trajectory,Biqing Huang,2015 International Conference on Service Science…,2015,,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7400780
,Yuanhang Hu,,,,,
,Yujiu Yang,,,,,
A Concise Tutorial on Deep Learning,A. R. Figueiras-Vidal,,2016,,,https://pdfs.semanticscholar.org/c3e0/72121a23e335354c1b1c2fd3ce9cdf0fc8a4.pdf
,Harold Y. Molina-Bulla,,,,,
,Irene Córdoba Sanchez,,,,,
A Data Management Perspective on Vehicular Networks,Raquel Trillo Lado,IEEE Communications Surveys & Tutorials,2015,2,11,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7219368
,Sergio Ilarri,,,,,
,Thierry Delot,,,,,
A Scalable Framework for Trajectory Prediction,Dheeraj Kumar,ArXiv,2018,,,https://arxiv.org/pdf/1806.03582.pdf
,James C. Bezdek,,,,,
,Marimuthu Palaniswami,,,,,
,Punit Rathore,,,,,
,Sutharshan Rajasegarar,,,,,
A Scalable Framework for Trajectory Prediction,Dheeraj Kumar,ArXiv,2018,,,https://arxiv.org/pdf/1806.03582.pdf
,James C. Bezdek,,,,,
,Marimuthu Palaniswami,,,,,
,Punit Rathore,,,,,
,Sutharshan Rajasegarar,,,,,
A Self-Adaptive Parameter Selection Trajectory Prediction Approach via Hidden Markov Models,Dayong Shen,IEEE Transactions on Intelligent Transportation…,2015,1,13,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6918501
,Nan Han,,,,,
,Shaojie Qiao,,,,,
,William Zhu,,,,,
,Xiaoteng Wang,,,,,
A Self-Adaptive Parameter Selection Trajectory Prediction Approach via Hidden Markov Models,Dayong Shen,IEEE Transactions on Intelligent Transportation…,2015,1,13,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6918501
,Nan Han,,,,,
,Shaojie Qiao,,,,,
,William Zhu,,,,,
,Xiaoteng Wang,,,,,
A Simple but Quantifiable Approach to Dynamic Price Prediction in Ride-on-demand Services Leveraging Multi-source Urban Data,Chao Chen,IMWUT,2018,,,http://dl.acm.org/citation.cfm?id=3264922
,Dah-Ming Chiu,,,,,
,Suiming Guo,,,,,
"A Survey of Anticipatory Mobile Networking: Context-Based Classification, Prediction Methodologies, and Optimization Techniques",Ilaria Malanchini,IEEE Communications Surveys & Tutorials,2017,,23,https://arxiv.org/pdf/1606.00191.pdf
,Joerg Widmer,,,,,
,Matteo Cesana,,,,,
,Nicola Bui,,,,,
,Qi Liao,,,,,
,S. Amir Hosseini,,,,,
"A Survey of Anticipatory Mobile Networking: Context-Based Classification, Prediction Methodologies, and Optimization Techniques",Ilaria Malanchini,IEEE Communications Surveys & Tutorials,2017,,23,https://arxiv.org/pdf/1606.00191.pdf
,Joerg Widmer,,,,,
,Matteo Cesana,,,,,
,Nicola Bui,,,,,
,Qi Liao,,,,,
,S. Amir Hosseini,,,,,
"A Survey of Anticipatory Mobile Networking: Context-Based Classification, Prediction Methodologies, and Optimization Techniques",Ilaria Malanchini,IEEE Communications Surveys & Tutorials,2017,,23,https://arxiv.org/pdf/1606.00191.pdf
,Joerg Widmer,,,,,
,Matteo Cesana,,,,,
,Nicola Bui,,,,,
,Qi Liao,,,,,
,S. Amir Hosseini,,,,,
A Survey of Body Sensor Networks,Guangyi Han,Sensors,2013,3,164,https://pdfs.semanticscholar.org/52ee/fceb4ae42d2bf26924901c786b35ca3ec752.pdf
,Guoqiao Zhou,,,,,
,Quanli Liu,,,,,
,Wei David Wang,,,,,
,Xiaochen Lai,,,,,
,Xin Wei,,,,,
